id,ko_raw,en,paren_contents,paren_types,reviewed,ko_forms
r2550,선형계획(법),linear programming,법,optional,yes,선형계획법 | 선형계획
r2556,선형독립(인),linearly independent,인,optional,yes,선형독립인 | 선형독립
r2571,선형종속(인),linearly dependent,인,optional,yes,선형종속인 | 선형종속
r2590,유사(의사)값,pseudo value,의사,alternative,yes,유사값 | 의사값
r2621,"유한모집단수정(인수, 항)",finite population correction (factor),"인수, 항",annotation,yes,유한모집단수정
r2667,이단(계)설계,two-stage design,계,optional,yes,이단계설계 | 이단설계
r2802,이항(의),binomial,의,optional,yes,이항의 | 이항
r2843,인자적재(값),factor loading,값,optional,yes,인자적재값 | 인자적재
r2882,"일시(적)상태, 일시성상태",transient state,적,optional,yes,일시적상태 | 일시상태 | 일시성상태
r2884,일원배치(법),one-way layout,법,optional,yes,일원배치법 | 일원배치
r2890,일치(적),consistent,적,optional,yes,일치적 | 일치
r2908,"임의, 랜덤, 무작위, 확률(적)",random,적,optional,yes,임의 | 랜덤 | 무작위 | 확률적 | 확률
r3020,에르미트 보간(법),Hermite interpolation,법,optional,yes,에르미트 보간법 | 에르미트 보간
r3040,"역(의), 역수의, 서로간의",reciprocal,의,optional,yes,역의 | 역 | 역수의 | 서로간의
r3045,역보간(법),inverse interpolation,법,optional,yes,역보간법 | 역보간
r3050,역원(소),inverse element,소,optional,yes,역원소 | 역원
r3095,"연속적, 연속(의)",continuous,의,optional,yes,연속적 | 연속의 | 연속
r3140,영향(력)곡선,influence curve,력,optional,yes,영향력곡선 | 영향곡선
r3141,영향(력)함수,influence function,력,optional,yes,영향력함수 | 영향함수
r3142,"영향(적)관측, 주영향관측",influential observation,적,optional,yes,영향적관측 | 영향관측 | 주영향관측
r3191,오차의 합동(화),pooling of error,화,optional,yes,오차의 합동화 | 오차의 합동
r3242,욕조(형)곡선,bath tub curve,형,optional,yes,욕조형곡선 | 욕조곡선
r3334,제약(조건),constraint,조건,optional,yes,제약조건 | 제약
r3360,조건부(의),conditional,의,optional,yes,조건부의 | 조건부
r3366,조건부독립(성),conditional independence,성,optional,yes,조건부독립성 | 조건부독립
r3375,조건부신뢰성(도),conditional reliability,도,optional,yes,조건부신뢰성도 | 조건부신뢰성
r3408,"종속(적), 의존(적)",dependent,적;적,optional;optional,yes,종속적 | 종속 | 의존적 | 의존
