id,ko_raw,en,ko_forms,flags
r4345,크누이의 검정[검증],Quenouille's test,크누이의 검정 | 크누이의 검증,
r4348,크래머-폰미제스 검정[검증],Cramer-von Mises test,크래머-폰미제스 검정 | 크래머-폰미제스 검증,
r4369,통계적 가설검정[검증],test of statistical hypothesis,통계적 가설검정 | 통계적 가설검증,
r4410,특수[특별]원인,special cause,특수원인 | 특별원인,
r4436,탐색적 자료[데이터]분석,exploratory data analysis,탐색적 자료분석 | 탐색적 데이터분석,
r4440,테리-호에프딩 검정[검증],Terry-Hoeffding test,테리-호에프딩 검정 | 테리-호에프딩 검증,
r4486,편[부분] F 검정[검증],partial F-test,편 F 검정 | 편 F 검증 | 부분 F 검정 | 부분 F 검증,
r4502,편향검정[검증],biased test,편향검정 | 편향검증,
r4619,포함관계검정[검증],includence test,포함관계검정 | 포함관계검증,
r4633,폴랴형 도수[빈도],Polya-type frequency,폴랴형 도수 | 폴랴형 빈도,
r4664,표준 라틴 방격[정방],standard Latin square,표준 라틴 방격 | 표준 라틴 정방,
r4727,프리드만의 검정[검증],Friedman's test,프리드만의 검정 | 프리드만의 검증,
r4732,피셔의 정확검정[검증],Fisher's exact test,피셔의 정확검정 | 피셔의 정확검증,
r4740,피트만 대립가설[대안],Pitman alternative,피트만 대립가설 | 피트만 대안,
r4759,하트리의 검정[검증],Hartley's test,하트리의 검정 | 하트리의 검증,
r4769,한쪽꼬리검정[검증],one-tailed test,한쪽꼬리검정 | 한쪽꼬리검증,
r4796,핫지스 이변량 부호검정[검증],Hodges bivariate sign test,핫지스 이변량 부호검정 | 핫지스 이변량 부호검증,
r4798,핫지스-에이네의 검정[검증],Hodges-Ajne's test,핫지스-에이네의 검정 | 핫지스-에이네의 검증,
r4879,홀랜더의 평행성검정[검증],Hollander's parallelism test,홀랜더의 평행성검정 | 홀랜더의 평행성검증,
r4880,홀랜더-프로샨 검정[검증],Hollander-Proschan test,홀랜더-프로샨 검정 | 홀랜더-프로샨 검증,
r4910,확률비검정[검증],probability ratio test,확률비검정 | 확률비검증,
r5035,F 검정[검증],F-test,F 검정 | F 검증,
r5043,L 검정[검증],L-test,L 검정 | L 검증,
r5048,m 종속[의존],m-dependent,m 종속 | m 의존,
r5060,t 검정[검증],t-test,t 검정 | t 검증,
